date,soxx_price,soxx_200d_average,weight_SOXX,weight_SOXL,gross_return,turnover,maintenance_turnover,trading_cost,short_borrow,financing_cost,raw_net_return,net_return,equity,bankrupt
2010-03-12 14:30:00+00:00,13.531033515930176,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-15 13:30:00+00:00,13.38490867614746,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-16 13:30:00+00:00,13.755851745605469,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-17 13:30:00+00:00,13.977858543395996,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-18 13:30:00+00:00,13.848584175109863,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-19 13:30:00+00:00,13.657490730285645,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-22 13:30:00+00:00,13.927271842956545,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-23 13:30:00+00:00,14.20828914642334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-24 13:30:00+00:00,13.873878479003906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-25 13:30:00+00:00,13.865448951721191,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-26 13:30:00+00:00,13.812054634094238,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-29 13:30:00+00:00,13.901975631713867,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-30 13:30:00+00:00,13.986286163330078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-03-31 13:30:00+00:00,13.887928009033203,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-01 13:30:00+00:00,13.882308959960938,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-05 13:30:00+00:00,14.281357765197754,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-06 13:30:00+00:00,14.191426277160645,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-07 13:30:00+00:00,14.244820594787598,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-08 13:30:00+00:00,14.050920486450195,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-09 13:30:00+00:00,14.205482482910156,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-12 13:30:00+00:00,14.326312065124512,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-13 13:30:00+00:00,14.461207389831545,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-14 13:30:00+00:00,15.048535346984863,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-15 13:30:00+00:00,15.113168716430664,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-16 13:30:00+00:00,14.893980979919434,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-19 13:30:00+00:00,14.7618989944458,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-20 13:30:00+00:00,14.95580005645752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-21 13:30:00+00:00,14.7618989944458,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-22 13:30:00+00:00,14.967037200927734,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-23 13:30:00+00:00,14.975465774536133,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-26 13:30:00+00:00,15.042911529541016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-27 13:30:00+00:00,14.556750297546388,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-28 13:30:00+00:00,14.627004623413086,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-29 13:30:00+00:00,14.812480926513672,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-04-30 13:30:00+00:00,14.168947219848633,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-03 13:30:00+00:00,14.464016914367676,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-04 13:30:00+00:00,13.910408973693848,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-05 13:30:00+00:00,13.769901275634766,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-06 13:30:00+00:00,13.269685745239258,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-07 13:30:00+00:00,13.101076126098633,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-10 13:30:00+00:00,13.78395175933838,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-11 13:30:00+00:00,13.705270767211914,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-12 13:30:00+00:00,14.081827163696287,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-13 13:30:00+00:00,13.747419357299805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2010-05-14 13:30:00+00:00,13.331512451171877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
