regime,symbol,alpha_name,fold,start_time,end_time,observations,active_observations,fold_ic,fold_ic_observations,fold_sharpe,fold_return,fold_pnl_sum,fold_turnover,fold_max_drawdown
trending,BTCUSDT,A01_ts_momentum_12,1,2022-10-09 04:00:00+00:00,2023-06-06 12:00:00+00:00,483,483,0.06332756556972294,483,1.7633567692936076,0.14961143607254734,0.1573335251950942,0.10470826315230003,-0.11768480328904785
trending,BTCUSDT,A01_ts_momentum_12,2,2023-06-06 12:00:00+00:00,2024-01-26 16:00:00+00:00,483,483,0.044522136358987933,483,1.1671950438939662,0.06806070166254985,0.07517431505989802,0.10342536575431842,-0.1700905705743191
trending,BTCUSDT,A01_ts_momentum_12,3,2024-01-26 16:00:00+00:00,2024-09-21 00:00:00+00:00,483,483,0.009240222979281596,483,-1.32940722400182,-0.10652487827970125,-0.09972450198763781,0.14008191435211947,-0.3099020926048913
trending,BTCUSDT,A01_ts_momentum_12,4,2024-09-21 00:00:00+00:00,2025-05-31 00:00:00+00:00,483,483,0.025006271050992384,483,-1.2931582409671274,-0.10239669400424711,-0.09559534760071671,0.12353527162461862,-0.2446813447136973
trending,BTCUSDT,A01_ts_momentum_12,5,2025-05-31 00:00:00+00:00,2026-01-14 12:00:00+00:00,483,483,-0.00983467611353784,483,-2.355044986047288,-0.09741312126266422,-0.09851743751175689,0.12858038486446802,-0.17075514848780327
trending,BTCUSDT,A01_ts_momentum_12,6,2026-01-14 12:00:00+00:00,2026-09-10 20:00:00+00:00,481,483,-0.0110134216018515,481,-4.649802560034177,-0.20631976055219348,-0.22570076309805281,0.1159144930073056,-0.3174566673243264
trending,BTCUSDT,A01_ts_momentum_24,1,2022-10-09 04:00:00+00:00,2023-06-06 12:00:00+00:00,483,483,0.051489518634207344,483,2.0931364061049598,0.178411581149857,0.18118335976528288,0.08198936867605272,-0.14169373288095877
trending,BTCUSDT,A01_ts_momentum_24,2,2023-06-06 12:00:00+00:00,2024-01-26 16:00:00+00:00,483,483,0.03610397031945266,483,1.808034411489684,0.12346294458578622,0.1276235803017599,0.09764753553185926,-0.18589019482030134
trending,BTCUSDT,A01_ts_momentum_24,3,2024-01-26 16:00:00+00:00,2024-09-21 00:00:00+00:00,483,483,0.001968948693616316,483,-1.3671506019029553,-0.12085724261396125,-0.11311828390447914,0.11112300920023449,-0.3498051043229131
trending,BTCUSDT,A01_ts_momentum_24,4,2024-09-21 00:00:00+00:00,2025-05-31 00:00:00+00:00,483,483,0.019472962307319777,483,-0.9926699923225277,-0.09290647656157902,-0.08198082970083326,0.10389397510737629,-0.25821269363656973
trending,BTCUSDT,A01_ts_momentum_24,5,2025-05-31 00:00:00+00:00,2026-01-14 12:00:00+00:00,483,483,-0.007572980024078688,483,-0.305347288140475,-0.018425717522473573,-0.013904553038136893,0.09529634462842436,-0.12296820053493906
trending,BTCUSDT,A01_ts_momentum_24,6,2026-01-14 12:00:00+00:00,2026-09-10 20:00:00+00:00,481,483,0.007253159642294949,481,-2.5630352888172556,-0.1396569535700375,-0.1433568783837027,0.1013268915180187,-0.28823232837726565
trending,BTCUSDT,A01_ts_momentum_48,1,2022-10-09 04:00:00+00:00,2023-06-06 12:00:00+00:00,483,483,0.045931078951461354,483,1.9696482695322903,0.14356991918068474,0.1467106971662635,0.08534867766183206,-0.12378315832349418
trending,BTCUSDT,A01_ts_momentum_48,2,2023-06-06 12:00:00+00:00,2024-01-26 16:00:00+00:00,483,483,0.016838178038893266,483,1.0658244543422026,0.06562765356066436,0.07457432416066226,0.11481917666336285,-0.19892154075698898
