symbol,alpha_name,fold,start_time,end_time,observations,active_observations,fold_ic,fold_ic_observations,fold_sharpe,fold_return,fold_pnl_sum,fold_turnover,fold_max_drawdown
BTCUSDT,A01_ts_momentum_12,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.038473838322993,1466,-0.38825437619085995,-0.10235169742316652,-0.07798486063957374,0.10151888941770124,-0.2876980028669981
BTCUSDT,A01_ts_momentum_12,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.004878577588046674,1466,-1.9408963330037887,-0.2460619854265781,-0.2682435453602795,0.10435835814107566,-0.3200974190249477
BTCUSDT,A01_ts_momentum_12,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.019507152461001667,1466,-0.9995950567965854,-0.167434938281392,-0.16322695448092878,0.10003004083529698,-0.3384688571514869
BTCUSDT,A01_ts_momentum_12,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.005828547061229237,1466,-1.3051040529851383,-0.21915715149647252,-0.22517571412449452,0.11258077058687087,-0.40541336482461343
BTCUSDT,A01_ts_momentum_12,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.014512531375244048,1466,-5.500671540868491,-0.44787221918081366,-0.5853935585789297,0.10805697311382113,-0.4581834609262697
BTCUSDT,A01_ts_momentum_12,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.025934616204187324,1466,-2.843095783312722,-0.31105121197577423,-0.3605984566954169,0.10030024402394819,-0.3813487529506391
BTCUSDT,A01_ts_momentum_24,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.02105481293962372,1466,-0.2532922104899468,-0.07911969201485869,-0.0514518528132199,0.08069139054205965,-0.3497873040199141
BTCUSDT,A01_ts_momentum_24,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.016661206701632764,1466,-1.4713470924514136,-0.21078089474343642,-0.2200990932474394,0.08415012082325352,-0.31342675303092027
BTCUSDT,A01_ts_momentum_24,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.033527831932602704,1466,0.0765673425501289,-0.011776080174132453,0.01429285663724672,0.06869780661966429,-0.2828799341727374
BTCUSDT,A01_ts_momentum_24,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.0036924796208618,1466,-0.9220763078934349,-0.17935927256604867,-0.17174426087473874,0.09067070030917193,-0.38996338649678564
