,spot,spot,spot,spot,spot,perp,perp,perp,perp,perp
,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT
funding_time,,,,,,,,,,
2020-07-10 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-11 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-11 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-11 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-12 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-12 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-12 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-13 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-13 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,-0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16
2020-07-13 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-14 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-14 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-14 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-15 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-15 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-15 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-16 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-16 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-16 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-17 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-17 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,-0.16,-0.45999999999999996,-0.16,0.13999999999999999,-0.16
2020-07-17 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-18 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.45999999999999996,-0.16
2020-07-18 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-18 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-19 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-19 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-19 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-20 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-20 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-20 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.45999999999999996,-0.16
2020-07-21 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-21 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-21 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-22 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-22 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-22 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-23 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-23 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-23 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-24 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-24 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-24 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-25 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-25 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-25 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-26 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-26 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-26 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-27 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-27 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-27 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.45999999999999996,-0.16
2020-07-28 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-28 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-28 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-07-29 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-29 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.45999999999999996,-0.16
2020-07-29 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-30 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-30 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-07-30 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-31 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,-0.16,-0.16,-0.45999999999999996,-0.16,0.13999999999999999
2020-07-31 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-07-31 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.45999999999999996,-0.16,-0.16,-0.16
2020-08-01 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-08-01 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.16,-0.45999999999999996
2020-08-01 16:00:00+00:00,0.16,0.16,0.16,0.16,0.16,-0.16,-0.45999999999999996,0.13999999999999999,-0.16,-0.16
2020-08-02 00:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.45999999999999996,-0.16,-0.16
2020-08-02 08:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.13999999999999999,-0.16,-0.16,-0.45999999999999996,-0.16
