date,price,average_200d,position,gross_return,turnover,trading_cost,roll_haircut,financing_cost,raw_net_return,net_return,equity,bankrupt
2000-01-04 05:00:00+00:00,100.41000366210938,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-05 05:00:00+00:00,100.37999725341795,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-01-06 05:00:00+00:00,100.6500015258789,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-07 05:00:00+00:00,100.8000030517578,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-10 05:00:00+00:00,100.98999786376952,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-11 05:00:00+00:00,100.55999755859376,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-01-12 05:00:00+00:00,100.62000274658205,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-13 05:00:00+00:00,101.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-14 05:00:00+00:00,101.72000122070312,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-17 05:00:00+00:00,102.0500030517578,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-18 05:00:00+00:00,101.86000061035156,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-01-19 05:00:00+00:00,101.76000213623048,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-01-20 05:00:00+00:00,101.36000061035156,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-01-21 05:00:00+00:00,101.76000213623048,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-24 05:00:00+00:00,102.1999969482422,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-25 05:00:00+00:00,102.41000366210938,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-26 05:00:00+00:00,102.44000244140624,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-27 05:00:00+00:00,103.16999816894533,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-28 05:00:00+00:00,104.4800033569336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-01-31 05:00:00+00:00,105.12999725341795,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-01 05:00:00+00:00,104.91999816894533,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-02 05:00:00+00:00,104.79000091552734,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-03 05:00:00+00:00,103.8000030517578,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-04 05:00:00+00:00,104.29000091552734,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-07 05:00:00+00:00,104.63999938964844,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-08 05:00:00+00:00,104.22000122070312,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-09 05:00:00+00:00,103.68000030517578,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-10 05:00:00+00:00,104.12999725341795,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-11 05:00:00+00:00,104.19000244140624,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-14 05:00:00+00:00,104.72000122070312,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-15 05:00:00+00:00,104.69000244140624,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-16 05:00:00+00:00,104.27999877929688,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-17 05:00:00+00:00,104.2699966430664,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-18 05:00:00+00:00,104.62999725341795,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-21 05:00:00+00:00,104.58000183105467,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-22 05:00:00+00:00,103.27999877929688,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-02-23 05:00:00+00:00,103.52999877929688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-24 05:00:00+00:00,104.01000213623048,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-25 05:00:00+00:00,105.26000213623048,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-28 05:00:00+00:00,105.2699966430664,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-02-29 05:00:00+00:00,105.91999816894533,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-03-01 05:00:00+00:00,104.88999938964844,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,10000.0,False
2000-03-02 05:00:00+00:00,105.6500015258789,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2000-03-03 05:00:00+00:00,106.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
