date,spy_return,position,turnover,trading_cost,leverage_financing,net_return
1993-02-01 14:30:00+00:00,0.007113028132945898,0.0,0.0,0.0,0.0,0.0
1993-02-02 14:30:00+00:00,0.0021183265761979264,0.0,0.0,0.0,0.0,0.0
1993-02-03 14:30:00+00:00,0.010570105894644799,0.0,0.0,0.0,0.0,0.0
1993-02-04 14:30:00+00:00,0.004184253257140114,0.0,0.0,0.0,0.0,0.0
1993-02-05 14:30:00+00:00,-0.0006945469376797853,0.0,0.0,0.0,0.0,-0.0
1993-02-08 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
1993-02-09 14:30:00+00:00,-0.006948905542739858,0.0,0.0,0.0,0.0,-0.0
1993-02-10 14:30:00+00:00,0.0013990858817860552,0.0,0.0,0.0,0.0,0.0
1993-02-11 14:30:00+00:00,0.004891707761845998,0.0,0.0,0.0,0.0,0.0
1993-02-12 14:30:00+00:00,-0.007649096989231996,0.0,0.0,0.0,0.0,-0.0
1993-02-16 14:30:00+00:00,-0.025227571716264885,0.0,0.0,0.0,0.0,-0.0
1993-02-17 14:30:00+00:00,-0.0007193328889039119,0.0,0.0,0.0,0.0,-0.0
1993-02-18 14:30:00+00:00,-0.0007195306608632768,0.0,0.0,0.0,0.0,-0.0
1993-02-19 14:30:00+00:00,0.0036001637224174488,0.0,0.0,0.0,0.0,0.0
1993-02-22 14:30:00+00:00,0.003586610794808154,0.0,0.0,0.0,0.0,0.0
1993-02-23 14:30:00+00:00,-0.0007145837082863649,0.0,0.0,0.0,0.0,-0.0
1993-02-24 14:30:00+00:00,0.012876080030465253,0.0,0.0,0.0,0.0,0.0
1993-02-25 14:30:00+00:00,0.0021183265761979264,0.0,0.0,0.0,0.0,0.0
1993-02-26 14:30:00+00:00,0.0014087883785107724,0.0,0.0,0.0,0.0,0.0
1993-03-01 14:30:00+00:00,-0.00281494347025002,0.0,0.0,0.0,0.0,-0.0
1993-03-02 14:30:00+00:00,0.014819955327595169,0.0,0.0,0.0,0.0,0.0
1993-03-03 14:30:00+00:00,0.004172846405609665,0.0,0.0,0.0,0.0,0.0
1993-03-04 14:30:00+00:00,-0.005540289732468784,0.0,0.0,0.0,0.0,-0.0
1993-03-05 14:30:00+00:00,-0.0027856164977145825,0.0,0.0,0.0,0.0,-0.0
1993-03-08 14:30:00+00:00,0.022346872008744967,0.0,0.0,0.0,0.0,0.0
1993-03-09 14:30:00+00:00,-0.0034155751960962544,0.0,0.0,0.0,0.0,-0.0
1993-03-10 14:30:00+00:00,0.002056124876161025,0.0,0.0,0.0,0.0,0.0
1993-03-11 14:30:00+00:00,-0.0027355448995335374,0.0,0.0,0.0,0.0,-0.0
1993-03-12 14:30:00+00:00,-0.010288739793373969,0.0,0.0,0.0,0.0,-0.0
1993-03-15 14:30:00+00:00,0.0048508737815589065,0.0,0.0,0.0,0.0,0.0
1993-03-16 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
1993-03-17 14:30:00+00:00,-0.006206894012711572,0.0,0.0,0.0,0.0,-0.0
1993-03-18 14:30:00+00:00,0.006245660163385125,0.0,0.0,0.0,0.0,0.0
1993-03-19 14:30:00+00:00,-0.0015132012601394296,0.0,0.0,0.0,0.0,-0.0
1993-03-22 14:30:00+00:00,-0.00555176897438836,0.0,0.0,0.0,0.0,-0.0
1993-03-23 14:30:00+00:00,0.0020937872390518475,0.0,0.0,0.0,0.0,0.0
1993-03-24 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
1993-03-25 14:30:00+00:00,0.006267620697562926,0.0,0.0,0.0,0.0,0.0
1993-03-26 14:30:00+00:00,-0.005536628254139364,0.0,0.0,0.0,0.0,-0.0
1993-03-29 14:30:00+00:00,0.004175069931131148,0.0,0.0,0.0,0.0,0.0
1993-03-30 14:30:00+00:00,0.002772114300582773,0.0,0.0,0.0,0.0,0.0
1993-03-31 14:30:00+00:00,-0.000690921488996965,0.0,0.0,0.0,0.0,-0.0
1993-04-01 14:30:00+00:00,-0.003457914557236985,0.0,0.0,0.0,0.0,-0.0
1993-04-02 14:30:00+00:00,-0.020819095246168207,0.0,0.0,0.0,0.0,-0.0
1993-04-05 13:30:00+00:00,0.0049613380731057255,0.0,0.0,0.0,0.0,0.0
1993-04-06 13:30:00+00:00,-0.002820909152861595,0.0,0.0,0.0,0.0,-0.0
1993-04-07 13:30:00+00:00,0.003536405049148872,0.0,0.0,0.0,0.0,0.0
1993-04-08 13:30:00+00:00,-0.0014098112032445709,0.0,0.0,0.0,0.0,-0.0
1993-04-12 13:30:00+00:00,0.014114422404970073,0.0,0.0,0.0,0.0,0.0
1993-04-13 13:30:00+00:00,0.002087727539038964,0.0,0.0,0.0,0.0,0.0
1993-04-14 13:30:00+00:00,-0.0013890211674680852,0.0,0.0,0.0,0.0,-0.0
1993-04-15 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
1993-04-16 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
1993-04-19 13:30:00+00:00,-0.004172166910385022,0.0,0.0,0.0,0.0,-0.0
1993-04-20 13:30:00+00:00,-0.0048882691280516255,0.0,0.0,0.0,0.0,-0.0
1993-04-21 13:30:00+00:00,-0.0007021318194815329,0.0,0.0,0.0,0.0,-0.0
1993-04-22 13:30:00+00:00,-0.012640490051312847,0.0,0.0,0.0,0.0,-0.0
1993-04-23 13:30:00+00:00,-0.004266573201048618,0.0,0.0,0.0,0.0,-0.0
1993-04-26 13:30:00+00:00,-0.007857491138974937,0.0,0.0,0.0,0.0,-0.0
1993-04-27 13:30:00+00:00,0.010798966531491594,0.0,0.0,0.0,0.0,0.0
1993-04-28 13:30:00+00:00,-0.0021366401099721655,0.0,0.0,0.0,0.0,-0.0
1993-04-29 13:30:00+00:00,0.004282351223434011,0.0,0.0,0.0,0.0,0.0
1993-04-30 13:30:00+00:00,0.0014214423013456656,0.0,0.0,0.0,0.0,0.0
1993-05-03 13:30:00+00:00,0.006387568140122424,0.0,0.0,0.0,0.0,0.0
1993-05-04 13:30:00+00:00,0.0035258827411366322,0.0,0.0,0.0,0.0,0.0
1993-05-05 13:30:00+00:00,0.0028116202018781955,0.0,0.0,0.0,0.0,0.0
1993-05-06 13:30:00+00:00,-0.0035041090709215794,0.0,0.0,0.0,0.0,-0.0
1993-05-07 13:30:00+00:00,-0.0021095939547339793,0.0,0.0,0.0,0.0,-0.0
1993-05-10 13:30:00+00:00,0.0021140537497443823,0.0,0.0,0.0,0.0,0.0
1993-05-11 13:30:00+00:00,0.0042193435933139956,0.0,0.0,0.0,0.0,0.0
1993-05-12 13:30:00+00:00,-0.0014007710558268105,0.0,0.0,0.0,0.0,-0.0
1993-05-13 13:30:00+00:00,-0.011921431571580432,0.0,0.0,0.0,0.0,-0.0
1993-05-14 13:30:00+00:00,-0.0007092409746768391,0.0,0.0,0.0,0.0,-0.0
1993-05-17 13:30:00+00:00,0.0035508444016005836,0.0,0.0,0.0,0.0,0.0
1993-05-18 13:30:00+00:00,-0.0007079381194556866,0.0,0.0,0.0,0.0,-0.0
1993-05-19 13:30:00+00:00,0.020538243237427256,0.0,0.0,0.0,0.0,0.0
1993-05-20 13:30:00+00:00,0.0027762685650765118,0.0,0.0,0.0,0.0,0.0
1993-05-21 13:30:00+00:00,-0.008996628323081901,0.0,0.0,0.0,0.0,-0.0
1993-05-24 13:30:00+00:00,0.004189646816197712,0.0,0.0,0.0,0.0,0.0
1993-05-25 13:30:00+00:00,0.002086198918936022,0.0,0.0,0.0,0.0,0.0
1993-05-26 13:30:00+00:00,0.012491902678044564,0.0,0.0,0.0,0.0,0.0
1993-05-27 13:30:00+00:00,-0.0034272539292904414,0.0,0.0,0.0,0.0,-0.0
1993-05-28 13:30:00+00:00,-0.0048146870030932876,0.0,0.0,0.0,0.0,-0.0
1993-06-01 13:30:00+00:00,0.009675348752030688,0.0,0.0,0.0,0.0,0.0
1993-06-02 13:30:00+00:00,-0.001368449755232981,0.0,0.0,0.0,0.0,-0.0
1993-06-03 13:30:00+00:00,-0.0034272539292904414,0.0,0.0,0.0,0.0,-0.0
1993-06-04 13:30:00+00:00,-0.0034386597502169547,0.0,0.0,0.0,0.0,-0.0
1993-06-07 13:30:00+00:00,-0.003451059671492396,0.0,0.0,0.0,0.0,-0.0
1993-06-08 13:30:00+00:00,-0.009002862027814418,0.0,0.0,0.0,0.0,-0.0
1993-06-09 13:30:00+00:00,0.0034943162633913616,0.0,0.0,0.0,0.0,0.0
1993-06-10 13:30:00+00:00,0.0006962909575831677,0.0,0.0,0.0,0.0,0.0
1993-06-11 13:30:00+00:00,0.004175069931131148,0.0,0.0,0.0,0.0,0.0
1993-06-14 13:30:00+00:00,-0.0013858270229212266,0.0,0.0,0.0,0.0,-0.0
1993-06-15 13:30:00+00:00,-0.0020818557537133353,0.0,0.0,0.0,0.0,-0.0
1993-06-16 13:30:00+00:00,0.002086198918936022,0.0,0.0,0.0,0.0,0.0
1993-06-17 13:30:00+00:00,0.003469913220675025,0.0,0.0,0.0,0.0,0.0
1993-06-18 13:30:00+00:00,-0.008234631735391296,0.0,0.0,0.0,0.0,-0.0
1993-06-21 13:30:00+00:00,0.00210631645627557,0.0,0.0,0.0,0.0,0.0
1993-06-22 13:30:00+00:00,0.0007012202495524367,0.0,0.0,0.0,0.0,0.0
1993-06-23 13:30:00+00:00,-0.009104241580285222,0.0,0.0,0.0,0.0,-0.0
1993-06-24 13:30:00+00:00,0.013428018948722809,0.0,0.0,0.0,0.0,0.0
1993-06-25 13:30:00+00:00,-0.0006978737194247575,0.0,0.0,0.0,0.0,-0.0
1993-06-28 13:30:00+00:00,0.011165570407223102,0.0,0.0,0.0,0.0,0.0
1993-06-29 13:30:00+00:00,-0.004830754440429352,0.0,0.0,0.0,0.0,-0.0
1993-06-30 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-01 13:30:00+00:00,-0.0027737219155892223,0.0,0.0,0.0,0.0,-0.0
1993-07-02 13:30:00+00:00,-0.005564020207341258,0.0,0.0,0.0,0.0,-0.0
1993-07-06 13:30:00+00:00,-0.01048924738579704,0.0,0.0,0.0,0.0,-0.0
1993-07-07 13:30:00+00:00,0.0028274255932660974,0.0,0.0,0.0,0.0,0.0
1993-07-08 13:30:00+00:00,0.011275259091537926,0.0,0.0,0.0,0.0,0.0
1993-07-09 13:30:00+00:00,0.002787482012878595,0.0,0.0,0.0,0.0,0.0
1993-07-12 13:30:00+00:00,-0.0006947615316589273,0.0,0.0,0.0,0.0,-0.0
1993-07-13 13:30:00+00:00,-0.0006955502972292305,0.0,0.0,0.0,0.0,-0.0
1993-07-14 13:30:00+00:00,0.0034794072479058524,0.0,0.0,0.0,0.0,0.0
1993-07-15 13:30:00+00:00,-0.004161116428025413,0.0,0.0,0.0,0.0,-0.0
1993-07-16 13:30:00+00:00,-0.002785541544546133,0.0,0.0,0.0,0.0,-0.0
1993-07-19 13:30:00+00:00,-0.0006983881808679815,0.0,0.0,0.0,0.0,-0.0
1993-07-20 13:30:00+00:00,0.0027955818792038123,0.0,0.0,0.0,0.0,0.0
1993-07-21 13:30:00+00:00,-0.0006966981669316308,0.0,0.0,0.0,0.0,-0.0
1993-07-22 13:30:00+00:00,-0.006973371882840307,0.0,0.0,0.0,0.0,-0.0
1993-07-23 13:30:00+00:00,0.004915098597206624,0.0,0.0,0.0,0.0,0.0
1993-07-26 13:30:00+00:00,0.005590856526286103,0.0,0.0,0.0,0.0,0.0
1993-07-27 13:30:00+00:00,-0.0006947615316589273,0.0,0.0,0.0,0.0,-0.0
1993-07-28 13:30:00+00:00,-0.0020864215893920957,0.0,0.0,0.0,0.0,-0.0
1993-07-29 13:30:00+00:00,0.005575193807474621,0.0,0.0,0.0,0.0,0.0
1993-07-30 13:30:00+00:00,-0.005544283353256629,0.0,0.0,0.0,0.0,-0.0
1993-08-02 13:30:00+00:00,0.002787482012878595,0.0,0.0,0.0,0.0,0.0
1993-08-03 13:30:00+00:00,0.0006947615316590383,0.0,0.0,0.0,0.0,0.0
