date,spread,prior_mean,prior_std,zscore,target_state,executed_state,weight_GOOG,weight_GOOGL,gross_return,turnover,maintenance_turnover,trading_cost,short_borrow,financing_cost,net_return,equity
2014-01-03 14:30:00+00:00,-0.004697991166122597,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-06 14:30:00+00:00,-0.004697958411889133,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-07 14:30:00+00:00,-0.0046982225359302535,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-08 14:30:00+00:00,-0.004698130014756137,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-09 14:30:00+00:00,-0.004698230520863833,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-10 14:30:00+00:00,-0.004698275072889794,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-13 14:30:00+00:00,-0.0046981797038581725,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-14 14:30:00+00:00,-0.0046980835055505385,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-15 14:30:00+00:00,-0.004698117701289994,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-16 14:30:00+00:00,-0.004698187002173334,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-17 14:30:00+00:00,-0.004698228080764303,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-21 14:30:00+00:00,-0.004698142957627308,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-22 14:30:00+00:00,-0.0046981155994419614,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-23 14:30:00+00:00,-0.004698029752200348,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-24 14:30:00+00:00,-0.004698263366471608,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-27 14:30:00+00:00,-0.0046978968876959515,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-28 14:30:00+00:00,-0.004698054191986914,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-29 14:30:00+00:00,-0.004698063559797313,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-30 14:30:00+00:00,-0.004698045023835783,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-01-31 14:30:00+00:00,-0.004698075250374646,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-03 14:30:00+00:00,-0.004698140007425205,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-04 14:30:00+00:00,-0.004698062843652548,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-05 14:30:00+00:00,-0.004698129420245151,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-06 14:30:00+00:00,-0.004697998765556763,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-07 14:30:00+00:00,-0.0046980777103358615,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-10 14:30:00+00:00,-0.004698125643541666,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-11 14:30:00+00:00,-0.004698137865767674,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-12 14:30:00+00:00,-0.004698176843663625,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-13 14:30:00+00:00,-0.004698194622800222,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-14 14:30:00+00:00,-0.004698152528294622,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-18 14:30:00+00:00,-0.004698202966998818,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-19 14:30:00+00:00,-0.004698090100937419,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-20 14:30:00+00:00,-0.004698229669366509,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-21 14:30:00+00:00,-0.004698132963618107,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2014-02-24 14:30:00+00:00,-0.0046981839684789,,,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
